official_name,lat,lon,Level of Education,Status of School,Sponsor of School,School Institution Type_1,School Institution Type_2,School Institution Type_3,Pupil Teacher Ratio,Pupil Classroom Ratio,Pupil Toilet Ratio,Total Number of Classrooms,Boys Toilets,Girls Toilets,Teachers Toilets,Total Toilets,Total Boys,Total Girls,Total Enrolment,GOK TSC Male,GOK TSC Female,Local Authority Male,Local Authority Female,PTA BOG Male,PTA BOG Female,Others Male,Others Female,Non-Teaching Staff Male,Non-Teaching Staff Female,Province,District,Division,Location,Costituency
KICOSHEP PRI. SCH,-1.306744, 36.79114,PRIMARY SCHOOL,PRIVATE,NGO/CBO,MIXED,DAY ONLY,INTEGRATED,31.4,47.1,62.8,8,2,4,2,0,208,169,377,0,0,0,0,0,0,7,5,6,0,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA
MASHIMONI FRIENDS PRI. SCH,-1.307029, 36.790792,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,14.3,33.3,25,3,2,2,2,0,51,49,100,0,0,0,0,0,0,2,5,1,2,NAIROBI,NAIROBI,KIBERA,LAINI SABA,LANGATA
MASHIMONI PRI SCH.,-1.307391, 36.790351,PRIMARY SCHOOL,PRIVATE,NGO/CBO,MIXED,DAY ONLY,ORDINARY,18,24.8,15.2,8,6,7,2,0,104,94,198,0,0,0,0,0,0,5,6,0,4,NAIROBI,NAIROBI,KIBERA,LAINI SABA,LANGATA
GOODNEWS ACADEMY- PRI,-1.307009, 36.7931221,PRIMARY SCHOOL,PRIVATE,NGO/CBO,MIXED,DAY ONLY,ORDINARY,28.4,28.4,,5,0,0,0,0,72,70,142,0,0,0,0,0,0,3,2,0,0,NAIROBI,NAIROBI,DAGORETTI,KENYATTA/GOLF COURSE,LANGATA
JAKES CENTER- PRI. SCH,-1.307206, 36.793986,PRIMARY SCHOOL,PRIVATE,COMMUNITY,MIXED,DAY ONLY,ORDINARY,33.3,39.9,199.5,10,1,1,1,0,200,199,399,0,0,0,0,0,0,2,10,1,0,NAIROBI,NAIROBI,DAGORETTI,KENYATTA/GOLF COURSE,DAGORETTI
FRANK EDUCATIONAL CENTER - PRIMARY SCH.,-1.30793, 36.795594,PRIMARY SCHOOL,PRIVATE,NGO/CBO,MIXED,DAY ONLY,ORDINARY,24.4,21.4,42.8,8,2,2,1,0,80,91,171,0,0,0,0,0,0,4,3,1,0,NAIROBI,NAIROBI,DAGORETTI,GOLF COURSE,DAGORETTI
GLORY PRI. SCH,-1.308486, 36.795544,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,17.1,34.3,22.8,8,5,7,4,0,154,120,274,0,0,0,0,0,0,7,9,2,2,NAIROBI,NAIROBI,KIBERA,LAINI SABA,LANGATA
KIBERA CHURCH OF GOD PRI SCH,-1.308289, 36.794175,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,12.7,,,0,0,0,0,0,0,0,165,0,0,0,0,0,0,3,10,3,0,NAIROBI,NAIROBI,KIBERA,LAINI SABA,LANGATA
LAINI SABA PRI. SCH,-1.307685, 36.793546,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,24.9,41.4,28.7,9,5,8,1,0,170,203,373,0,0,0,0,0,0,7,8,4,4,NAIROBI,NAIROBI,KIBERA,LAINI SABA,LANGATA
MASHIMONI SQUATTERS PRI. SCH,-1.309757, 36.789668,PRIMARY SCHOOL,PRIVATE,COMMUNITY,MIXED,DAY ONLY,ORDINARY,38.5,49.9,53,17,10,6,2,0,413,435,848,0,0,0,0,14,8,0,0,2,5,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA
